id,title,type,release_year,runtime,backdrop_path,made_by_netflix,maturity_rating,maturity_warning,maturity_rating_reason,maturity_rating_board,overview,genres,cast,content_is,subtitles,audio
80997613,"¡Ay, mi madre!",movie,2019,4884.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABf6tyKI1Wkb2L-XR2DG0rN65j9a2HqtNkIRmee20G0DmE0wYMpVblrYdbvh18wxUD3-M11_AGZK0ww2fLSKvupelsRdl7pBWyMY.webp?r=b4e,False,U/A 16+,Suitable for persons aged 16 and above and under parental guidance for people under age of 16,"['language', 'tobacco use']",India,"When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.","['Spanish', 'Comedy Movies']","['Estefanía de los Santos', 'Secun de la Rosa', 'Terele Pávez', 'María Alfonsa Rosso', 'Mariola Fuentes', 'Alfonso Sánchez', 'Paz Vega', 'Marta Torné', 'Concha Galán']","['Sentimental', 'Intimate']","['English', 'European Spanish', 'Hindi']","['European Spanish - Audio Description', 'European Spanish [Original]']"
81357618,¡Que viva México!,movie,2023,11502.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABa0yZKA4YFn1VFH_fzdZUvs5svX8QIHFg_Hrv6ieb8y3zq3X-NyydlgaTxsL3Cbrq3TgwItBf7Z1mHN4H7pyaONhWPvgwBZA8xGg_gt-iWeTqd9llEfh0n_rozDgVqqHSBaq.jpg?r=7ae,True,A,Content restricted to adults,"['nudity', 'sex', 'tobacco use']",India,"After his miner grandfather's death, Pancho travels with his wife and kids to his hometown, where chaos ensues with his relatives over the inheritance.","['Mexican', 'Satires', 'Dramas', 'Comedy Movies', 'Social Issue Dramas']","['Damián Alcázar', 'Alfonso Herrera', 'Joaquín Cosío', 'Ana de la Reguera', 'Ana Martín', 'Angelina Peláez', 'Zaide Silvia Gutiérrez', 'Sonia Couoh', 'Vico Escorcia', 'Álex Perea']",['Provocative'],"['English', 'English', 'Spanish']","['Spanish - Audio Description', 'Spanish [Original]']"
81412227,'76,movie,2016,7084.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABR_d-GOh9W-c2Vl1sIAvy4GQSzui-jzvrM9Q0TH_x_ruOfz6wcu2RBVGoRqwYVkXiN-8jURn4XNnGw-SoeyOpjUuEptePHmG6aX2-g3BPmC1LI-pAuoBq0-dWNI2V0a3vYdJ.jpg?r=722,True,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['gore', 'mature themes', 'tobacco use', 'violence']",India,"When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events.","['Nollywood', 'Military Movies', 'Dramas', 'African Movies']","['Ramsey Nouah', 'Rita Dominic', 'Chidi Mokeme', 'Ibinabo Fiberesima', 'Daniel K. Daniel', 'Memry Savanhu', 'Adonijah Owiriwa', 'Pat Nebo', 'Nelly Ekwereogu', 'Shuaibu Ebenesi Adams', 'Debo Oguns', 'Ben Nwosu', 'Ada Ofoegbu']",['Emotional'],['English'],"['English - Audio Description', 'English [Original]']"
81144147,'83,movie,2021,9626.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABS_zvH0B6AJA6wDYYVTUyIcRM9BeU7yEJXCv7-WlOw1x62M5FJlbRUpaVIYEncdyjOzwbs6Ksl2LtH_1Ud0VVb-Zrg73AgARZqo.webp?r=f74,False,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['crude humor', 'gore', 'language', 'tobacco use', 'violence']",India,"Amid doubt and derision, indomitable captain Kapil Dev leads India's struggling cricket team to make history at the 1983 World Cup. Based on true events.","['Hindi-Language Movies', 'Sports Movies', 'Bollywood Movies', 'Dramas', 'Sports Dramas', 'Movies Based on Real Life']","['Ranveer Singh', 'Deepika Padukone', 'Pankaj Tripathi', 'Saqib Saleem', 'Jiiva', 'Ammy Virk', 'Harrdy Sandhu', 'Nishant Dahiya', 'Jatin Sarna', 'Chirag Patil', 'Sahil Khattar', 'Tahir Raj Bhasin']","['Inspiring', 'Heartfelt']","['English', 'Hindi']","['Hindi [Original]', 'Kannada', 'Malayalam', 'Tamil', 'Telugu']"
81644889,"""Sr.""",movie,2022,5364.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUZ3ZZTtZ08leF6WxXx0nkTLHd23MqKhB5XmLm7tyjEaMgHJKwu8MGaSrHmXalspoqhOlAaXn2TW3wu2kLwvQQlfMc9oGOCHwSN_iMwBWCqIqrY7GSKYGyB2ar4EHgQ2EFVM.jpg?r=25a,True,A,Content restricted to adults,"['substances', 'tobacco use']",India,Robert Downey Jr. pays tribute to his late father in this documentary chronicling the life and eclectic career of pioneering filmmaker Robert Downey Sr.,"['Documentaries', 'Biographical Documentaries', 'US Movies']","['Robert Downey Sr.', 'Robert Downey Jr.']","['Intimate', 'Emotional']",['English'],"['English - Audio Description', 'English [Original]']"
81240831,#Alive,movie,2020,5914.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABXKGzf0bjyoQPnTlIcRPmmOT0CznGrFcUzVvSfzWjc7c7LfghRPQEBBUqvNKC61G92EaRQw6VVrYciB8BsokjAXiSACkSQg9r1KW_sc8d-7V939lKesXdqp01hB4QtQNvVzr.jpg?r=400,True,U/A 16+,Suitable for persons aged 16 and above and under parental guidance for people under age of 16,"['gore', 'language', 'suicide', 'tobacco use', 'violence']",India,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.","['Korean', 'Horror Movies']","['Yoo Ah-in', 'Park Shin-hye']",[],"['English', 'English', 'Korean']","['English', 'Korean - Audio Description', 'Korean [Original]']"
81260630,#FriendButMarried,movie,2018,6125.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABeSrRGCxE86t5mUXXZCe2x_EwspopOFqZMSN_IXtD3egkQf9M-pIQAo7vH0AaXQ8fY8bfRNTrKbYCEHHGJbfVsgQTtC7N6eiDnQ.webp?r=04d,False,U/A 7+,Suitable for children 7 and above and under parental guidance for persons under age of 7,['mild language'],India,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.","['Indonesian', 'Dramas', 'Romantic Movies', 'Movies Based on Books', 'Movies Based on Real Life']","['Adipati Dolken', 'Vanesha Prescilla', 'Rendi Jhon', 'Beby Tsabina', 'Denira Wiraguna', 'Refal Hady', 'Diandra Agatha', 'Sari Nila']","['Swoonworthy', 'Sentimental', 'Bittersweet']","['English', 'Indonesian']",['Indonesian [Original]']
81260637,#FriendButMarried 2,movie,2020,6246.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABUMFTDriA8V0iS5xlSEjTPpdRoWM78wpchm_AFbuqyJA5xpQgOq6rmT5iMHDc2L35EieLi1pGnQX_BeGSKpWn0wdqPBFxcKO39g.webp?r=481,False,U/A 7+,Suitable for children 7 and above and under parental guidance for persons under age of 7,"['mild language', 'mild violence']",India,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.","['Indonesian', 'Dramas', 'Romantic Movies', 'Movies Based on Books', 'Movies Based on Real Life']","['Adipati Dolken', 'Mawar de Jongh', 'Sari Nila', 'Vonny Cornellya', 'Clay Gribble', 'Ivan Leonardy', 'Sarah Sechan', 'Jourdy Pranata']","['Bittersweet', 'Emotional', 'Romantic']","['English', 'Indonesian']",['Indonesian [Original]']
80125979,#realityhigh,movie,2017,5965.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABRi9jMTzEQHma_gH3O3XAVCNBS40-DFCHPJRtLk7776bFoX3PBbZ00-borvXjdNxL2360DU8H5ZOIkQuhp46Rc72-TFrzPhcj_xAOxeCMGzxofskuf86dlIgbrJgcKLyY5sC.jpg?r=cda,True,U/A 16+,Suitable for persons aged 16 and above and under parental guidance for people under age of 16,"['crude humor', 'language']",India,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.","['Comedy Movies', 'Teen Movies', 'US Movies']","['Nesta Cooper', 'Kate Walsh', 'John Michael Higgins', 'Keith Powers', 'Alicia Sanz', 'Jake Borelli', 'Kid Ink', 'Yousef Erakat', 'Rebekah Graf', 'Anne Winters', 'Peter Gilroy', 'Patrick Davis']","['Witty', 'Heartfelt', 'Feel-Good']",['English'],"['English - Audio Description', 'English [Original]']"
81092768,#Selfie,movie,2014,7523.0,https://occ-0-2890-2186.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABYnM05Tx0O9K197M32QPiOZQe9d7h02cwNV7Vw1lb3HmEZAPsHPWE3Wqt5I_gDawsLK-UBAMYNhLgv-z6U_1pDcVos5SIR4b3Kk.webp?r=30e,False,A,Content restricted to adults,"['sex', 'tobacco use']",India,"Two days before their final exams, three teen girls make a seaside getaway to have the time of their lives.","['Romanian', 'Dramas', 'Comedy Movies', 'Teen Movies']","['Flavia Hojda', 'Crina Semciuc', 'Olimpia Melinte', 'Sali Levent', 'Vlad Logigan', 'Alex Călin', 'Alina Chivulescu', 'Răzvan Vasilescu']",['Intimate'],"['English', 'Hindi', 'Romanian']",['Romanian [Original]']
