id,title,type,release_year,runtime,backdrop_path,made_by_netflix,maturity_rating,maturity_warning,maturity_rating_reason,maturity_rating_board,overview,genres,cast,content_is,subtitles,audio
81498297,The Making of a King,movie,2021,6884.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZA_cJ0-WRilMAB4bpDkbPj4UCdw0hiu1wpLcrArQdtd3csxSeyIuAW3BhnPNO1STMJKkGHUtgUxPr6V7ZElj5zYE7bxU1hMj7o.webp?r=ea4,False,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['language', 'tobacco use', 'violence']",India,"Kemi Adetiba and other creatives behind ""King of Boys"" discuss the franchise's challenging and inspiring journey toward making Nollywood history.","['Nollywood', 'Documentaries', 'African Movies']",['Kemi Adetiba'],['Intimate'],['English'],['English [Original]']
81251628,The Man from Toronto,movie,2022,6729.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABbTU-GXbDJ5Ci7LoUQfN0FuncluL8w1RIhW0LAM06XdC915TFaZr69sbYqs3TmQlymPC-xIaz4cQnzRuOc5-Fk3uoOTvvKW6hZ5WO5_jCa_KoY8Wt7jRGAFbMLzeJ-YY454B.jpg?r=856,True,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['crude humor', 'language', 'threat', 'violence']",India,A case of mistaken identity forces a bumbling entrepreneur to team up with a notorious assassin known as The Man from Toronto in hopes of staying alive.,"['Comedy Movies', 'Action & Adventure Movies', 'US Movies']","['Kevin Hart', 'Woody Harrelson', 'Kaley Cuoco', 'Jasmine Mathews', 'Lela Loren', 'Pierson Fode', 'Jencarlos Canela', 'Ellen Barkin']","['Goofy', 'Exciting']",['English'],"['English - Audio Description', 'English [Original]', 'Hindi', 'Tamil', 'Telugu']"
70251897,The Man with the Iron Fists,movie,2012,5713.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWTPSOy2edk0kQRPkBrBKQ-dyiwZtULCvmIqCG4FvjJxD8DR2BofEXh2MUg3FS3hYsdMfmBcwI2NRIW2u9gljdMy6ID8WB9F2mY.webp?r=db0,False,A,Content restricted to adults,"['gore', 'sex', 'tobacco use', 'violence']",India,"Combining kung-fu action and hip-hop style, this martial arts thriller relates the saga of a Chinese blacksmith caught up in a battle between clans.","['Martial Arts Movies', 'Action & Adventure Movies', 'US Movies']","['RZA', 'Russell Crowe', 'Lucy Liu', 'Rick Yune', 'Dave Bautista', 'Jamie Chung', 'Cung Le', 'Byron Mann', 'Daniel Wu', 'Zhu Zhu', 'Gordon Liu']","['Violent', 'Exciting']","['English', 'Hindi']","['English - Audio Description', 'English [Original]', 'Hindi']"
81150305,The Man Without Gravity,movie,2019,6438.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTKQzKfHuBiOCvBJn4rvT8zNYxgFnseMCj5nEML7mN6aV_13VqqM0Fvt4xrf1Kfej0Cj9FK0giVjoxuhjvEkm1yAkrOzwzM01r9p-OZLxAkz_I2vjVk8kuDg_X0ims8vEUfM.jpg?r=0cd,True,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['language', 'mature themes']",India,A gravity-defying boy raised in seclusion matures into an extraordinary man -- and an international celebrity -- who longs for human connection.,"['Italian', 'Dramas']","['Elio Germano', 'Michela Cescon', 'Elena Cotta', ""Silvia D'Amico"", 'Vincent Scarito']","['Heartfelt', 'Feel-Good', 'Emotional']","['English', 'English', 'Italian']","['English', 'Italian - Audio Description', 'Italian [Original]']"
81567391,The Marriage App,movie,2022,6097.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABepzXC_BLv7yQqJeki1hLJHsJ2Y0SrNzLDVTQLHZQdqQV5lzkXOLlLCUjfSasB0vGJLuihPRZ1m6mEfU0mopioOyg7Y6G6jgJcKKUsmON5XBcrkHqYFtnK1LHwuOlfJgqPJ5.jpg?r=208,True,U/A 16+,Suitable for persons aged 16 and above and under parental guidance for people under age of 16,"['language', 'sexual content']",India,"Tangled in a troubled marriage, a frustrated couple finds hope in a fun app that rewards good deeds — until the obsession to win points takes over.","['Argentinian', 'Romantic Comedies', 'Comedy Movies', 'Romantic Movies']","['Luisana Lopilato', 'Juan Minujín', 'Cristina Castaño', 'Andrea Rincón', 'Santiago Gobernori', 'Julián Lucero', 'Betiana Blum', 'Aylen Malisani', 'Vicente Archain', 'Carla Pandolfi']","['Quirky', 'Romantic']","['English', 'English', 'Spanish']","['English', 'Spanish - Audio Description', 'Spanish [Original]']"
80117263,The Mars Generation,movie,2017,5864.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABZ4AseOxVZ5mNcPTw3cOVIyDZ_z4u7DKYN5pDMvTeV8l_V8OY4J0ylrNkEUOG179hEzbGHwkJAoLJyJM9b5nGhvhKr7B7uwmHje1sZPauq8X-wxtDWmZYyGrcXlU2cEz5qOL.jpg?r=ec9,True,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,['violence'],India,"Self-professed teenage ""space nerds"" at Space Camp chase their dreams of traveling to Mars, while experts reflect on NASA's history and future.","['Documentaries', 'Science & Nature Docs', 'US Movies']","['Neil deGrasse Tyson', 'Bill Nye', 'Michio Kaku']",['Inspiring'],['English'],"['English - Audio Description', 'English [Original]']"
81488054,The Martha Mitchell Effect,movie,2022,2449.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABWn3CIc7yNDRH6IO5og7R6zCOC-yw9Qq32R-MP5Hd5LgB3Cw_UsZT3Hsa4_-EmQeGaSo5qhq7O0ypknTnRkq736OgHzHTAFoitPquYvTNnmuOynIj4QaGmv08QePeWQltDg8.jpg?r=dbf,True,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['mature themes', 'tobacco use', 'violence']",India,This documentary profiles the Cabinet wife who spoke out during Watergate — and the Nixon administration's campaign to gaslight her into silence.,"['Documentaries', 'Historical Documentaries', 'Political Documentaries', 'US Movies']",[],"['Provocative', 'Cerebral']",['English'],"['English - Audio Description', 'English [Original]']"
81512109,The Masked Scammer,movie,2022,4758.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABTOpBSm3WhbGjH9PniZ0d9FiephaJLemjFY_RWQydjJXX37WI5d0tQPkX2BJTAclFvyjJtSgpAfWgI0KGXNt-KAH_Q1tl2iBg6CVTVcF-1E4JUN-jWWxeEVeUcdxm9BxY_6l.jpg?r=0f0,True,U/A 16+,Suitable for persons aged 16 and above and under parental guidance for people under age of 16,"['language', 'mature themes', 'tobacco use']",India,"Featuring interviews with his accomplices and victims alike, this deep dive explores how a master con man scammed French elites out of millions of euros.","['Documentaries', 'Crime Movies', 'True Crime Documentaries']",[],[],"['English', 'English', 'French']","['English', 'French - Audio Description', 'French [Original]']"
60022049,The Master of Disguise,movie,2002,4819.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABVLCCiz54RLcsOjq792fuc_VCBuqoIfrciruffi2OXCdCj0NwOKhn9uWnCgOSodCJ6Ioj2KbZy1ymAyAGIyHaJkxi1CinMfRsIo.webp?r=a12,False,U/A 7+,Suitable for children 7 and above and under parental guidance for persons under age of 7,"['mild language', 'mild violence', 'rude humor', 'tobacco use']",India,"Simple, sweet Pistachio Disguisey discovers his keen hereditary talent for imitation when he must rescue his father from a criminal mastermind.","['Family Features', 'Children & Family Movies', 'Comedy Movies', 'US Movies']","['Dana Carvey', 'Jennifer Esposito', 'Harold Gould', 'James Brolin', 'Brent Spiner', 'Austin Wolff', 'Edie McClurg', 'Maria Canals-Barrera']",['Goofy'],"['English', 'English', 'Hindi']","['English [Original]', 'Hindi']"
81641261,The Master Plan,movie,2020,5401.0,https://occ-0-2366-2164.1.nflxso.net/dnm/api/v6/6gmvu2hxdfnQ55LZZjyzYR4kzGk/AAAABRb66h-tZ8_TUS0VL6Pzks8lrPYrMrBljyq9byO7q8vazeB8OntGbVC8QMYNSh77xEo4RSE_l-_PT9RzpZT3RHOjRT_s9x1VOZ0.webp?r=3c4,False,U/A 13+,Suitable for persons aged 13 and above and under parental guidance for people under age of 13,"['language', 'mature themes', 'tobacco use']",India,"Hired to steal important documents in a high-stakes bank heist,  two slick criminals enlist a bumbling duo to do the dirty work — and bear all the risk.","['Egyptian', 'Middle Eastern Movies', 'Comedy Movies']","['Ali Rabee', 'Mohamed Abdel-Rahman', 'Ghada Adel', 'Amr Abdul Gelil', 'Salah Abdallah', 'Bayoumi Fouad', 'Yasser El Tobgy']",['Goofy'],"['Arabic', 'English']",['Arabic [Original]']
